ID,ProductName,ProductGroup,ProductCategory
108,Product 108,Ground Coffee,Food
111,Product 111,Vegetable,Food
114,Product 114,Spices,Food
118,Product 118,Spices,Food
120,Product 120,Spices,Food
142,Product 142,Ground Coffee,Food
143,Product 143,Ground Coffee,Food
144,Product 144,Ground Coffee,Food
145,Product 145,Ground Coffee,Food
146,Product 146,Oil,Food
157,Product 157,Powdered Milk,Food
158,Product 158,Powdered Milk,Food
159,Product 159,Coffee in Capsules,Food
168,Product 168,Coffee in Capsules,Food
175,Product 175,Oil,Food
176,Product 176,Oil,Food
180,Product 180,Oil,Food
183,Product 183,Vegetable,Food
186,Product 186,Vegetable,Food
187,Product 187,Vegetable,Food
191,Product 191,Vegetable,Food
202,Product 202,Wheat Flour,Food
203,Product 203,Wheat Flour,Food
210,Product 210,Wheat Flour,Food
231,Product 231,Wheat Flour,Food
235,Product 235,Wheat Flour,Food
238,Product 238,Wheat Flour,Food
240,Product 240,Wheat Flour,Food
252,Product 252,Powdered Milk,Food
256,Product 256,Yeasts,Food
257,Product 257,Yeasts,Food
258,Product 258,Yeasts,Food
260,Product 260,Yeasts,Food
264,Product 264,Yeasts,Food
265,Product 265,Yeasts,Food
266,Product 266,Yeasts,Food
267,Product 267,Yeasts,Food
271,Product 271,Yeasts,Food
272,Product 272,Yeasts,Food
276,Product 276,Yeasts,Food
278,Product 278,Yeasts,Food
279,Product 279,Yeasts,Food
280,Product 280,Oil,Food
282,Product 282,Yeasts,Food
283,Product 283,Yeasts,Food
290,Product 290,Yeasts,Food
291,Product 291,Yeasts,Food
292,Product 292,Yeasts,Food
304,Product 304,Yeasts,Food
305,Product 305,Yeasts,Food
307,Product 307,Tea,Drink
318,Product 318,Yeasts,Food
320,Product 320,Yeasts,Food
321,Product 321,Yeasts,Food
333,Product 333,Oil,Food
334,Product 334,Oil,Food
344,Product 344,Ground Coffee,Food
345,Product 345,Ground Coffee,Food
352,Product 352,Dry Wine,Drink
364,Product 364,Yeasts,Food
370,Product 370,Yeasts,Food
378,Product 378,Yeasts,Food
379,Product 379,Yeasts,Food
384,Product 384,Yeasts,Food
386,Product 386,Yeasts,Food
392,Product 392,Yeasts,Food
406,Product 406,Energy Drink,Drink
438,Product 438,Oil,Food
439,Product 439,Oil,Food
440,Product 440,Oil,Food
442,Product 442,Oil,Food
458,Product 458,Yeasts,Food
462,Product 462,Sugar,Food
463,Product 463,Sugar,Food
466,Product 466,Energy Drink,Drink
467,Product 467,Sugar,Food
468,Product 468,Sugar,Food
469,Product 469,Sugar,Food
473,Product 473,Sugar,Food
474,Product 474,Sugar,Food
476,Product 476,Sugar,Food
477,Product 477,Sugar,Food
481,Product 481,Sugar,Food
483,Product 483,Sugar,Food
487,Product 487,Sugar,Food
492,Product 492,Yeasts,Food
513,Product 513,Oil,Food
514,Product 514,Flour,Food
527,Product 527,Flour,Food
548,Product 548,Yeasts,Food
557,Product 557,Energy Drink,Drink
559,Product 559,Energy Drink,Drink
581,Product 581,Flour,Food
645,Product 645,Spices,Food
654,Product 654,Manioc Flour,Food
660,Product 660,Canned Sweet,Food
661,Product 661,Canned Sweet,Food
662,Product 662,Flour,Food
665,Product 665,Yeasts,Food
668,Product 668,Popcorn,Food
691,Product 691,Sugar,Food
692,Product 692,Sugar,Food
693,Product 693,Sugar,Food
694,Product 694,Sugar,Food
695,Product 695,Sugar,Food
696,Product 696,Sugar,Food
702,Product 702,Sugar,Food
703,Product 703,Sugar,Food
706,Product 706,Sugar,Food
709,Product 709,Ground Coffee,Food
741,Product 741,Spices,Food
771,Product 771,Vegetable,Food
775,Product 775,Cassava starch,Food
811,Product 811,Sugar,Food
824,Product 824,Canned Sweet,Food
825,Product 825,Canned Sweet,Food
829,Product 829,Oil,Food
830,Product 830,Oil,Food
835,Product 835,Oil,Food
838,Product 838,Oil,Food
839,Product 839,Oil,Food
845,Product 845,Flour,Food
876,Product 876,Oil,Food
